ID,BookName,Publisher,Author,Price
133,Yıldız Ruh,Yabancı Yayınları,Ashley Poston,"91,00"
134,Mümkünatı Yok,İthaki Yayınları,Sinclair Lewis,"78,00"
135,Altın Çağ -1,Elpis Yayınları,Harun Muğla,"54,72"
136,Arşimet,Ketebe Çocuk,Tuğba Hatun Murat,"33,43"
137,Newton,Ketebe Çocuk,Tuğba Hatun Murat,"33,43"
138,Wright Kardeşler,Ketebe Çocuk,Tuğba Hatun Murat,"33,43"
139,Hawking`in Koridoru,Martı Yayınları,Neal Shusterman,"60,00"
140,Ölü Dağcı Oteli,İthaki Yayınları,Arkadi Strugatski,"65,00"
141,Tohumdan Hasada,İthaki Yayınları,Octavia E. Butler,"234,00"
142,İsyan,Yabancı Yayınları,Cindy Pon,"78,00"
143,Işıkla Gelen Kader,Sayfa6 Yayınları,Teo Man,"80,40"
144,İnşehir - Karanlık,Dorlion Yayınevi,Murat Sümer,"65,55"
145,Kule Serisi 1 - Geçidin Ötesi,Epsilon Yayınevi,Alpay Asar,"77,03"
146,Bir Ağacın Günlüğü,Kafka Kitap,Didier Van Cauwelaert,"64,03"
147,Gölgemiz Düşer,İthaki Yayınları,Maurice Carlos Ruffin,"91,00"
148,Felsefenin Kraliçeleri,Epsilon Yayınevi,Rebecca Buxton,"64,03"
149,Alb Madi,40 Kitap,Mazlum Babat,"55,80"
150,Mars’ta Satranç - John Carter 5,BilgeSu Yayıncılık,Edgar Rice Burroughs,"56,95"
151,Element I,Dorlion Yayınevi,M. Cem Öztürk,"38,76"
152,Güneşin Altın Elmaları,İthaki Yayınları,Ray Bradbury,"104,00"
153,Lanetli Yüzük,Payidar Genç,Kübra Kar,"34,20"
154,Dinozorlarla Karıncaların Öyküsü,İthaki Yayınları,Cixin Liu,"61,10"
155,Frankenstein,Platanus Publishing,Mary Shelley,"61,38"
156,Alya,Hazer Yayınları,Nesrin Hazer,"75,00"
157,Zihin Kütüphanesi,Elpis Yayınları,Anıl Şahal,"71,92"
158,İleri Sar: Gelecekten Öyküler,Dex Yayınevi,Veronica Roth,"77,35"
159,Uçuş 416,Epsilon Yayınevi,T. J. Newman,"90,03"
160,Feminist Ütopyalar Seti Sticker Hediyeli,Fihrist Kitap,Kolektif,"173,29"
161,Güneşin Çekirdeği,İthaki Yayınları,Joanna Sinisalo,"78,00"
162,Bir Sonraki Hayatımız Seti 2 Kitap Takım,Yabancı Yayınları,Lauren James,"390,00"
163,Parazit Serisi Kutulu Set 2 Kitap Takım,Yabancı Yayınları,Jessica Shirvington,"325,00"
164,Kara Dörtleme Kutu Set 4 Kitap Takım,İthaki Yayınları,Alican Saygı Ortanca,"682,50"
165,Dune Ciltli Kutu Set 6 Kitap Takım,İthaki Yayınları,Frank Herbert,"2.112,50"
166,İçimizdeki Düşman,Çizgi Kitabevi Yayınları,Gülden altıntop,"78,40"
